Follower,Durchschnittliche Antwortzeit,Durchschnittliche Antwortzeit in Minuten
13545,2874,
13626,2000,
13711,6039,
13835,3287,
13994,8431,
14195,6342,
14426,3292,
14613,3552,
14728,2467,
14920,15102,
15054,29969,
15176,46219,
15286,19398,
15420,22330,
15658,2654,
15788,13670,
15903,5006,
16017,6240,
16167,6140,
16306,3043,
16567,17837,
16775,8055,
17016,8996,
17224,3007,
17460,34224,
17668,5638,
17862,11737,
18083,7162,
18325,7856,
18586,4681,
18821,6258,
19098,11085,
19457,27800,
19674,22309,
19803,4638,
20028,5067,
20195,2852,
20311,4074,
20475,5596,
20632,6158,
20891,4700,
21287,6035,
21762,19033,
22072,8897,
22493,4208,
22821,21685,
22882,30589,
22933,9468,
22985,7479,
23053,8231,
23120,6021,
23185,7251,
23427,28085,
23634,9669,
23981,17344,
24195,7894,
24278,2415,
24348,4569,
24412,2799,
24488,20558,
24581,4193,
24665,5105,
24883,3681,
25180,8796,
25451,19573,
25696,11042,
25974,4271,
26172,3992,
26383,4339,
26756,20791,
27218,6108,
27647,22279,
28155,5751,
28552,1833,
28902,11301,
29232,15994,
29650,7925,
30108,9422,
30433,6054,
30719,6659,
30953,4188,
31102,27300,
31250,15028,
31446,4813,
31664,4348,
31979,3424,
32400,4136,
32509,2874,
32588,9986,
32725,3515,
33305,6118,
33793,16378,
34147,9772,
34852,48727,
35366,6803,
36104,7256,
37348,3707,
38049,5853,
38828,5727,
39560,4360,
40739,5469,
42043,10305,
42767,9373,
43888,7319,
45105,9092,
46000,9625,
46742,7167,
47623,19461,
48818,13038,
49650,9243,
52784,36408,
54303,6237,
54739,4801,
55502,10423,
56636,6865,
57844,7218,
58518,2032,
59204,6167,
60539,7665,
62141,9294,
64486,25721,
68238,23913,
71332,10143,
73903,5412,
77798,3294,
79202,9626,
80569,6914,
81829,6597,
83014,1952,
83882,5108,
86144,17509,
89732,13656,
95602,14636,
101242,23388,
104929,13889,
107388,11301,
110201,43733,
112029,13509,
113647,5987,
114878,9872,
117423,17802,
122284,8929,
137415,14160,
140683,13087,
141725,2634,
143974,7609,
155973,5944,
168466,7617,
181389,16903,
195260,8904,
226795,8820,
242102,6433,
248922,10146,
334701,17213,
488209,8999,
